                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3949,                0.09091,                      1,                 1.3926,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                  1.383,                0.09091,                      1,                 1.3945,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                 1.3609,                0.09091,                      1,                 1.3965,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                 1.3618,                0.09091,                      1,                 1.3984,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 1.3705,                0.09091,                      1,                 1.3975,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                 1.3613,                0.09091,                      1,                 1.3955,             0.00011537,             0.00011537,             0.00011537
                      7,                 1.2982,                0.09091,                      1,                 1.3857,             0.00013432,             0.00013432,             0.00013432
                      8,                 1.3309,                0.63636,                      1,                 1.3779,             0.00015284,             0.00015284,             0.00015284
                      9,                 1.2974,                0.63636,                      1,                 1.3613,             0.00017094,             0.00017094,             0.00017094
                     10,                 1.2785,                0.63636,                      1,                 1.3525,             0.00018861,             0.00018861,             0.00018861
                     11,                 1.2362,                0.27273,                      1,                 1.3291,             0.00020586,             0.00020586,             0.00020586
                     12,                 1.2542,                0.27273,                      1,                 1.3184,             0.00022269,             0.00022269,             0.00022269
                     13,                 1.2754,                0.27273,                      1,                 1.3193,             0.00023909,             0.00023909,             0.00023909
                     14,                 1.1768,                0.27273,                      1,                 1.3291,             0.00025506,             0.00025506,             0.00025506
                     15,                 1.2191,                0.27273,                      1,                 1.3574,             0.00027062,             0.00027062,             0.00027062
                     16,                 1.2679,                0.27273,                      1,                 1.3682,             0.00028575,             0.00028575,             0.00028575
                     17,                 1.1442,                0.27273,                      1,                 1.3857,             0.00030045,             0.00030045,             0.00030045
                     18,                 1.2779,                0.27273,                      1,                 1.3799,             0.00031473,             0.00031473,             0.00031473
                     19,                 1.3958,                0.27273,                      1,                 1.3564,             0.00032859,             0.00032859,             0.00032859
                     20,                 1.1972,                0.27273,                      1,                 1.3418,             0.00034202,             0.00034202,             0.00034202
                     21,                  1.277,                0.27273,                      1,                 1.3447,             0.00035503,             0.00035503,             0.00035503
                     22,                  1.214,                0.27273,                      1,                  1.374,             0.00036761,             0.00036761,             0.00036761
                     23,                 1.1092,                      0,                      1,                 1.4307,             0.00037977,             0.00037977,             0.00037977
                     24,                 1.2221,                0.09091,                      1,                 1.4189,             0.00039151,             0.00039151,             0.00039151
                     25,                 1.1927,                0.27273,                      1,                 1.4131,             0.00040282,             0.00040282,             0.00040282
                     26,                 1.2354,                0.09091,                      1,                  1.415,             0.00041371,             0.00041371,             0.00041371
                     27,                 1.2381,                      0,                      1,                 1.4062,             0.00042417,             0.00042417,             0.00042417
                     28,                  1.334,                0.09091,                      1,                  1.415,             0.00043421,             0.00043421,             0.00043421
                     29,                 1.3196,                0.09091,                      1,                  1.415,             0.00044383,             0.00044383,             0.00044383
                     30,                 1.2602,                0.09091,                      1,                 1.3945,             0.00045302,             0.00045302,             0.00045302
                     31,                 1.2106,                0.45455,                      1,                  1.293,             0.00046179,             0.00046179,             0.00046179
                     32,                 1.2284,                0.45455,                      1,                 1.2158,             0.00047013,             0.00047013,             0.00047013
                     33,                 1.1611,                0.45455,                      1,                 1.2158,             0.00047805,             0.00047805,             0.00047805
                     34,                 1.1365,                0.45455,                      1,                 1.1953,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.2423,                0.63636,                      1,                 1.1894,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.1828,                0.63636,                      1,                 1.2061,              0.0004666,              0.0004666,              0.0004666
                     37,                   1.24,                0.63636,                      1,                 1.2061,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.1774,                0.63636,                      1,                 1.2393,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.2322,                0.63636,                      1,                  1.291,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.2247,                0.54545,                      1,                 1.3272,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.1733,                0.54545,                      1,                 1.3272,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.2905,                0.27273,                      1,                 1.3369,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.1894,                0.18182,                      1,                 1.3477,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.2176,                0.45455,                      1,                 1.3467,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.1884,                0.45455,                      1,                 1.3467,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.1574,                0.36364,                      1,                 1.3496,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.2383,                0.36364,                      1,                 1.3359,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.1585,                0.36364,                      1,                 1.3115,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.1242,                0.36364,                      1,                 1.3115,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.1702,                0.54545,                      1,                 1.3086,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.2782,                0.54545,                      1,                 1.3106,             0.00036057,             0.00036057,             0.00036057
                     52,                  1.222,                0.54545,                      1,                 1.3066,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.1455,                0.54545,                      1,                 1.3066,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.2088,                0.54545,                      1,                 1.3008,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.1491,                0.54545,                      1,                 1.2978,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.2518,                0.54545,                      1,                 1.2939,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.2388,                0.54545,                      1,                 1.2939,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.2276,                0.54545,                      1,                  1.292,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.2079,                0.54545,                      1,                 1.2998,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.2719,                0.36364,                      1,                 1.3096,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.1769,                0.36364,                      1,                 1.3096,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.2634,                0.36364,                      1,                 1.3096,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.2752,                0.36364,                      1,                 1.3027,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.1936,                0.27273,                      1,                 1.3047,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.2342,                0.27273,                      1,                 1.3047,             0.00026161,             0.00026161,             0.00026161
                     66,                  1.151,                0.27273,                      1,                 1.3027,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.1373,                0.27273,                      1,                 1.3037,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.1518,                0.27273,                      1,                 1.3086,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.1821,                0.27273,                      1,                 1.3086,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.1837,                0.27273,                      1,                 1.3106,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.2245,                0.27273,                      1,                 1.3135,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.1237,                0.27273,                      1,                 1.3272,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.2164,                0.27273,                      1,                 1.3272,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.2103,                0.27273,                      1,                  1.334,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.1894,                0.27273,                      1,                 1.3379,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.2067,                0.27273,                      1,                  1.333,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.1987,                0.27273,                      1,                  1.333,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.1789,                0.27273,                      1,                  1.333,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.1973,                0.27273,                      1,                 1.3408,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.2742,                0.27273,                      1,                 1.3281,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.2094,                0.27273,                      1,                 1.3281,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.1229,                0.27273,                      1,                 1.3203,             0.00014144,             0.00014144,             0.00014144
                     83,                  1.202,                0.27273,                      1,                 1.3232,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.2616,                0.27273,                      1,                 1.3223,             0.00012731,             0.00012731,             0.00012731
                     85,                  1.179,                0.27273,                      1,                 1.3223,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.2178,                0.27273,                      1,                 1.3193,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.2643,                0.27273,                      1,                 1.3144,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.2638,                0.27273,                      1,                 1.3135,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.2124,                0.27273,                      1,                 1.3135,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.1499,                0.27273,                      1,                 1.3106,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.1706,                0.27273,                      1,                 1.3106,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                  1.145,                0.27273,                      1,                 1.3086,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.2076,                0.27273,                      1,                 1.3086,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.1815,                0.27273,                      1,                 1.3076,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.1659,                0.27273,                      1,                 1.3066,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.2443,                0.27273,                      1,                 1.3057,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.1954,                0.27273,                      1,                 1.3057,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                  1.266,                0.27273,                      1,                 1.3076,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.1815,                0.27273,                      1,                 1.3076,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.1698,                0.27273,                      1,                 1.3057,             1.4209e-05,             1.4209e-05,             1.4209e-05
